"title","author","publication_year","genre","synopsis"
"La aventura metaficcional","Carmen Bustillo","1997","Experimental fiction","Obra de Carmen Bustillo, publicada en 1997."
"La aventura del cerebro","Josep Ma Farré","2022","Medical","PREMIO ATLAS 2014 A LA DIVULGACIÓN EN NEUROCIENCIA Mediante la lectura de este libro navegaremos por la libertad, el destino de nuestras acciones, las motivaciones elementales, la ruptura y el equili…"
"La aventura de Justin y Talía (Justin y la espada del valor)","Varios autores","2013","Juvenile Fiction","Una divertida aventura protagonizada por los personajes de la película Justin y la espada del valor. En el reino de Gabilonia gobiernan las prohibiciones. Justin pretende volver a los tiempos de hono…"
"ElMayo97 - Una aventura espacial","Mayo","2023","Juvenile Fiction","EL NUEVO LIBRO DE ELMAYO97 En un futuro no tan lejano, después de una explosión supersónica, la vida de los humanos ha cambiado radicalmente, obligándolos a conquistar otros planetas. ElMayo, un chic…"
"Las aventuras de Tallulah, Lucia y Dolce","Patricia Kessler","2017","Ficción","Este es el primer libro para niños de Patricia de su serie ""Las aventuras de Tallulah, Lucía y Dolce"". Después de su aventura personal de mudarse a Puerto Vallarta, Mexico, sus perros decidieron corr…"
"Una Aventura de Dinosaurios","Kamilla Adame","2024","Juvenile Fiction","Jess y la Máquina del Tiempo"" es una aventura conmovedora que sigue el viaje de una animada niña de 10 años llamada Jess. Después de descubrir la invención secreta de su padre, una máquina del tiempo…"
"Elige tu propia aventura - Perdido en el Amazonas","R.A. Montgomery","2022","Juvenile Fiction","¡CUIDADO! Este libro es diferente a los demás. Lo que ocurra en esta historia está SOLO en tus manos. Esta es tu misión: tus amigos han desparecido durante una expedición por el Amazonas y debes enco…"
"Elige tu propia aventura - El abominable hombre de las nieves","R.A. Montgomery","2024","Juvenile Fiction","¡CUIDADO! Este libro es diferente a los demás. Tú puedes elegir el desarrollo de la historia. Lo que ocurra en esta historia está SOLO en tus manos. Tendrás que sortear grander peligros y una mala de…"
"La magia de la aventura","WALLACE. GUTIERREZ","2025","Self-Help","La magia de la aventura: saboreando cada momento de la vida de Wallace Gutierrez es una exploración fascinante de las innumerables formas en que la aventura enriquece nuestras vidas. Este libro trasc…"
"Hombres a la aventura","François Roger de Chateleux","1953","Ficción","Obra de François Roger de Chateleux, publicada en 1953."
"Deportes De Aventura","Mahesh Sharma","2020","Ficción","El deporte beneficia a una persona de una forma u otra. Todo lo que uno necesita es elegir el deporte adecuado, ya que cada juego tiene su propia calidad y ventaja. Aquellos que fortalecerán el funci…"
"En Busca de la Entrada Secreta: Una emocionante aventura de misterio con un final sorprendente (Libro 1)","Rosario Ana","2021","Juvenile Fiction","Un misterioso mensaje sobre una entrada secreta es el comienzo de una extraordinaria aventura con un final inesperado. ¿Podrán Alicia y Tom descifrar el código y descubrir que hay tras la entrada sec…"
"La aventura del amor","Jill Shalvis","2011","Fiction","El experto en búsqueda y rescate Logan White estaba acostumbrado a trabajar en condiciones de mucha tensión. Por eso era tan importante que se tomase aquellas vacaciones para irse a esquiar. Sabía qu…"
"Aventura En Familia","Julio Moreno Escri Julio Moreno Guisado","2024","Fiction","UNA MUJER. UN PLANETA. Y LA FAMILIA PARA SALVARLO. AVENTURA EN FAMILIA. MARTE, PRIMERA PARTE, LIBRO 1 AVENTURA EN FAMILIA, es el primer libro de una saga donde la familia MORENO tendrá que salvar el…"
"El Viaje de Lon","Giovanni Ré","2024","Young Adult Nonfiction","EL VIAJE DE LON: Una aventura en bicicleta Basado en una historia real. Este libro de aventuras sigue a un joven valiente que, tras terminar el colegio, decide emprender un viaje único: recorrer mile…"
"Exploradores y piratas en la América del Sur","Ernesto Morales","2006","History","Obra de Ernesto Morales, publicada en 2006."
"El Viaje de Elrod","A. J. GASCÓN","2021","Ficción","Segunda edición: corregida y mejorada. Ahora con fantásticas ILUSTRACIONES en cada capítulo. El viaje de Elrod va a empezar, adéntrate en esta apasionante historia llena de magia, acción, aventuras,…"
"XIBALBA- Una Aventura de Dane Maddock","David Wood","2019","Fiction","Un oscuro descenso al mundo de los muertos. Las leyendas lo llaman Xibalba – el Lugar del Miedo. Pero algunas leyendas son verdaderas. El descubrimiento de un tesoro en Yucatán sitúa a los ex marines…"
"La aventura de la marsopa Porter y Josie en la caleta","Alan Cavanagh","2024","Ficción","En ""La aventura de la marsopa Porter y Josie en la caleta"" los lectores se trasladan a la pintoresca caleta de Maheramore, en el condado irlandés de Wicklow, en donde se desenvuelve una conmovedora h…"
"La Aventura de Algodón de Azúcar","Tara Giri","2022","Ficción","La Aventura de Algodón de Azúcar - The Adventure of Cotton Candy- is an illustrated Children's book written in Spanish and English. It is about Cotton Candy who is in search of her friend Peppermint.…"
"Aventura de a cuatro","Ignacio Rodríguez Delgado","2025","Young Adult Fiction","Un pueblo marcado por secretos. Un libro que no debería existir. Cuatro adolescentes que descubrirán quiénes son realmente. Hace cincuenta años, los fundadores de Emurte murieron en circunstancias mi…"
"Aventura en el Transasiático","Julio Verne","2020","Fiction","Esta historia escrita por Julio Verne en 1892 se tituló originalmente Claudius Bombarnac, y vió la luz por entregas en Le Soleil entre el 10 de octubre y el 7 de diciembre de 1892. Un año después se…"
"Aventura Familiar en la Montaña Escondida","Harold Lerch","2020","Ficción","Una familia en una aventura Descubre cosas nuevas en las montañas, arroyos y ríos de la creación especial de Dios. Ilustrado."
"Aventura En Una Misteriosa Isla del Mediterraneo","Marta Tobalina","2017","Ficción","Aventura número 3, dirigida a jóvenes entre 11 y 15 años, cuya finalidad es entretener, dentro de un contexto de aprendizaje. A través de la exploración y el juego, el lector/a podrá descubrir alguna…"
"Bibliografía Nacional Nicaragüense, 1800-1978","Latin American Bibliographic Foundation (Redlands, Calif.)","1986","Government publications","Obra de Latin American Bibliographic Foundation (Redlands, Calif.), publicada en 1986."
"Metamórfosis","Juan Ramón Jiménez","1990","Aphorisms and apothegms","Obra de Juan Ramón Jiménez, publicada en 1990."
"Historia de la estética I","Wladyslaw Tatarkiewicz","1991","Art","El texto presenta los conceptos estéticos elaborados por el pensamiento europeo, su esencia, su evolución, su desarrollo y sus mutuas relaciones. El autor no se limita a la estética general de los fi…"
"Diccionario de escritores mexicanos, siglo XX: H-LL","Aurora Maura Ocampo","1988","Authors, Mexican","Obra de Aurora Maura Ocampo, publicada en 1988."
"Historia de la estética III","Wladyslaw Tatarkiewicz","2004","History","Historia de la estética / W. Tatarkiewicz.-v.3."
"Poesias líricas","Friedrich Wilhelm Nietzsche","1921","Ficción","Obra de Friedrich Wilhelm Nietzsche, publicada en 1921."
"Poesias","Gregorio Gutiérrez González","1881","Colombian poetry","Obra de Gregorio Gutiérrez González, publicada en 1881."
"La versification irregular en la poesia castellana","Pedro Henriquez Urena","1920","Ficción","Obra de Pedro Henriquez Urena, publicada en 1920."
"Poesía moral (Polimnia)","Francisco de Quevedo","1998","Literary Criticism","Critical edition of the seventeenth-century Spanish poet's moral poetry: the Polimnia group of poems from his Poesíía moral. `The clarity and intelligence with which both the poetry and the introduct…"
"Principios de literatura general y española","Manuel Milá y Fontanals","1877","Literature","Obra de Manuel Milá y Fontanals, publicada en 1877."
"Prosas","Julián del Casal","1963","Cuban fiction","Obra de Julián del Casal, publicada en 1963."
"Anales","Instituto Popular de Conferencias, Buenos Aires","1941","Argentina","Obra de Instituto Popular de Conferencias, Buenos Aires, publicada en 1941."
"Twentieth-Century Poetry from Spanish America","Iliana L. Sonntag","1998","Education","Provides access to 12,000 poems from 72 separate anthologies in three distinct indexes, making access to the verse-writing of Spanish American writers easy."
"Latin American Writers","Carlos A. Solé","1989","Authors, Latin American","Discusses writers of the New World and provides a critial analyses of today's outstanding writers."
"Roque Dalton's Poetry in the Context of the Sixties","Anne-Maria Bankay","1984","Latin American poetry","Obra de Anne-Maria Bankay, publicada en 1984."
"Obras escogidas de Juan Valera...","Juan Valera","1928","Environmental policy","Obra de Juan Valera, publicada en 1928."
"Boletín de la Academia chilena correspondiente de la Academia española","Academia Chilena","1915","Ficción","Obra de Academia Chilena, publicada en 1915."
"Obras completas de don Miguel Antonio Caro","Miguel Antonio Caro","1921","Ficción","Obra de Miguel Antonio Caro, publicada en 1921."
"Papers of the Midwest Modern Language Association","Midwest Modern Language Association","1969","Languages, Modern","Obra de Midwest Modern Language Association, publicada en 1969."
"Comedias mitolólogicas. Comedias históricas de asunto extranjero","Lope de Vega","1896","Ficción","Obra de Lope de Vega, publicada en 1896."
"Cuba y América","Raimundo Cabrera","1904","Ficción","Obra de Raimundo Cabrera, publicada en 1904."
"Revista","Universidad de Buenos Aires","1927","Ficción","Obra de Universidad de Buenos Aires, publicada en 1927."
"Revista chilena","Diego Barros Arana","1879","Chile","Obra de Diego Barros Arana, publicada en 1879."
"Boletín","Archivo Nacional de Cuba","1919","Archives","Obra de Archivo Nacional de Cuba, publicada en 1919."
"Manual de literatura","Antonio Gil y Zárate","1884","Literature","Obra de Antonio Gil y Zárate, publicada en 1884."
"La escuela romantica en Francia. La joven Alemania","Georg Brandes","1946","Literature, Modern","Obra de Georg Brandes, publicada en 1946."
"Discursos leídos ante la Real Academia de la historia en la recepción pública del ilmo","Jerónimo López de Ayala Cedillo (conde de)","1901","Toledo (Spain)","Obra de Jerónimo López de Ayala Cedillo (conde de), publicada en 1901."
"Poets of Chile","Steven F. White","1986","Literary Criticism","Obra de Steven F. White, publicada en 1986."
"Papel periódico ilustrado","Alberto Urdaneta","1883","Ficción","Contains music."
"Obras","Gustavo Adolfo Bécquer","1877","Ficción","Obra de Gustavo Adolfo Bécquer, publicada en 1877."
"El Corno emplumado","Sergio Mondragón","1968","Literature, Modern","Obra de Sergio Mondragón, publicada en 1968."
"Library of Congress Catalog","Library of Congress","1970","Catalogs, Subject","A cumulative list of works represented by Library of Congress printed cards."
"Studies in Honor of William C. McCrary","Robert L. Fiore","1986","Literary Criticism","Obra de Robert L. Fiore, publicada en 1986."
"Opúsculos literarios i criticos ...","Andrés Bello","1883","Spanish American literature","Obra de Andrés Bello, publicada en 1883."
"Estudios literarios","Federico González Suárez","1896","Bible","Obra de Federico González Suárez, publicada en 1896."
"La Estética de la Derrota","Héctor Álvarez Sánchez","2020","Ficción","Antología de poemas. Más de 400 poemas escritos por Héctor Álvarez Sánchez. Poesía inspirada en los grandes del Realismo Sucio (y no tan sucio): Karmelo Iribarren, Roger Wolfe, Jim Morrison, Charles…"
"Galeria de escritores chilenos","Pedro Pablo Figueroa","1885","Authors, Chilean","Obra de Pedro Pablo Figueroa, publicada en 1885."
"Women Writers of Spanish America","Diane Marting","1987","Literary Criticism","The countries of Spanish America have a history of women's literature that is full, varied, and, until now, undocumented in English. The largest collection of its kind, this annotated bio-bibliograph…"
"The Traditional Folk Music and Dances of Spain","Israel J. Katz","2009","Folk dancing","Obra de Israel J. Katz, publicada en 2009."
"Cantigas de Santa Maria, de Don Alfonso El Sabio","Alfonso X (King of Castile and Leon)","1889","Arabs","Obra de Alfonso X (King of Castile and Leon), publicada en 1889."
"Germania","Johannes Scherr","1882","Alemanya","Obra de Johannes Scherr, publicada en 1882."
"Romancero general","Agustín Durán","1877","Ficción","Obra de Agustín Durán, publicada en 1877."
"Catalog of Government Publications in the Research Libraries","New York Public Library. Economic and Public Affairs Division","1972","Government publications","Obra de New York Public Library. Economic and Public Affairs Division, publicada en 1972."
"Romancero general, ó collección de romances castellanos anteriores al siglo XVIII","Agustín Durán","1877","Spanish ballads and songs","Obra de Agustín Durán, publicada en 1877."
"Romancero general ó colección de romances castellanos anteriores al siglo XVIII","Agustín Durán","1877","Romances espanoles - Siglo XVIII","Obra de Agustín Durán, publicada en 1877."
"Bibliography of Contemporary Spanish Literature","Modern Language Association of America. Spanish V. Bibliography Committee","1954","Spanish literature","Obra de Modern Language Association of America. Spanish V. Bibliography Committee, publicada en 1954."
"Rapsodia Demorada En El Tiempo...","Doris A. Melo Mendoza","2017","Ficción","""Rapsodia demorada en el tiempo"" es un poemario en el que el hablante trata de accesar al pasado para rescatar parte de su historia amorosa. En su su busqueda existencial rescatar del olvido segmento…"
"Antología de la poesía española e hispanoamericana, 1882-1932","Federico de Onís","1961","Latin America","Obra de Federico de Onís, publicada en 1961."
"El último poema","Juan Peña","2024","Poetry","Honda, sobria, desprovista de retórica, la poesía de Juan Peña es pulcra en la forma y esencial en el contenido. Este es, ante todo, un libro de celebración de esos momentos en calma en que la vida,…"
"Recent Spanish Poetry and the Role of the Reader","Margaret Helen Persin","1987","Literary Criticism","All the poets considered in this volume -- Jose Angel Valente, Francisco Brines, Claudio Rodriguez, Angel Gonzalez, and Gloria Fuertes -- view their work as a starting point in a creative process in…"
"Cupido en el monte de Afrodita","Evelio Domínguez","2006","Ficción","Obra de Evelio Domínguez, publicada en 2006."
"Las Flores del Mal","Charles Baudelaire","2023","Poetry","En ""Las Flores del Mal"", Charles Baudelaire presenta una colección de poemas que exploran la dualidad de la experiencia humana, abarcando el amor, la muerte, la belleza y la decadencia. Su estilo lír…"
"Cracking the AP Spanish, 2002-2003 Edition","Mary Leech","2002","Education","The Princeton Review realizes that acing the AP Spanish exam is very different from getting straight As in school. The Princeton Review doesn't try to teach students everything there is to know about…"
"Second catalogue, including the additions made since 1882","Baltimore Peabody inst, libr","1896","Ficción","Obra de Baltimore Peabody inst, libr, publicada en 1896."
"Poesía","Luis de León","2006","Spanish poetry","Estudio preliminar a cargo de Alberto Blecua y Francisco Rico. La admiración que la poesía de fray Luis de León ha recibido ininterrumpidamente desde el mismo siglo XVI por su armonía y su belleza no…"
"Second Catalogue of the Library of the Peabody Institute of the City of Baltimore, Including the Additions Made Since 1882","George Peabody Library","1901","Catalogs, Dictionary","Obra de George Peabody Library, publicada en 1901."
"Subject Catalog, 1978","Library of Congress","1978","Library catalogs","Obra de Library of Congress, publicada en 1978."
"Las Indias Occidentales en la poesía sevillana del Siglo de Oro","Mercedes Cobos","1997","America","Obra de Mercedes Cobos, publicada en 1997."
"G.K. Hall Bibliographic Guide to Latin American Studies","Benson Latin American Collection","2000","Latin America","Obra de Benson Latin American Collection, publicada en 2000."
"Frontera de la piel","Rodolfo Martínez","2025","Poetry","EDICIÓN ILUSTRADA Aunque Rodolfo Martínez es conocido fundamentalmente como autor de ciencia ficción y fantasía, también ha cultivado la poesía de forma esporádica a lo largo de su dilatada carrera.…"
"Poesía completa","Vicente Aleixandre","2017","Poetry","UN CLÁSICO DE LAS LETRAS ESPAÑOLAS, PREMIO NOBEL DE LITERATURA «El lector tiene en este espléndido tomo un paraíso majestuoso de tonos, colores, músicas... que complacerá su imaginación exigente. [..…"
"Inspiración en la nada","Miguel Angel Pando Montero","2025","Poetry","En esta octava entrega el autor resalta a la mujer con la importancia en la sociedad, aquellas que resurgen y luchan, a la Madre, aquellas mujeres que muchas veces no son reconocidas en su entorno. T…"
"The British Library General Catalogue of Printed Books, 1986 to 1987","British Library","1988","Language Arts & Disciplines","Obra de British Library, publicada en 1988."
"Los silencios del amor","Enrique Martin Picazo Alonso","2020","Ficción","un espacio de suspiro, en el amor, el odio el perdón y el rencor, poesía, romance y pasión."
"Ensayo de una biblioteca española de libros raros y curiosos","Bartolomé José Gallardo","1888","Bibliography","Obra de Bartolomé José Gallardo, publicada en 1888."
"Cuando nuestras miradas se encontraron /When Our Eyes Met","Sergio Longoria","2016","Ficción","Descubre sentimientos que han permanecido en mis recuerdos al paso del tiempo, y que se han transformado en versos de amor; versos que ahora reposan en las páginas de este libro. Poesía de amor, de f…"
"Praxis de la poesía","Jean-Clarence Lambert","2019","Electronic books","Obra de Jean-Clarence Lambert, publicada en 2019."
"A Spanish Reader","Miguel Teurbe Tolón","1901","Spanish language","Obra de Miguel Teurbe Tolón, publicada en 1901."
"Subject Catalog, 1982","Library of Congress","1982","Library catalogs","Obra de Library of Congress, publicada en 1982."
"Poesía, zona peligrosa","Anthony L. Geist","1993","Poetry","Obra de Anthony L. Geist, publicada en 1993."
"Mi vida no es poesía","Roxana Miranda Casadiego","2024","Ficción","Obra de Roxana Miranda Casadiego, publicada en 2024."
"Confianza. Primeras poesías. Poemas inéditos. Poemas sueltos. Poesía última","Pedro Salinas","2010","Fiction","Libro que Pedro Salinas (1891-1951) dejó preparado para la imprenta a su muerte, CONFIANZA reúne poemas escritos entre 1942 y 1944, contemporáneos, pues, de «Todo más claro» y «El Contemplado» (reuni…"
"Poesía","Rosalía de Castro","2003","Fiction","La popularidad de la obra de ROSALÍA DE CASTRO (1837-1885), que escribió poesía tanto en gallego como en castellano, descansa fundamentalmente en «Cantares gallegos» y «Follas novas», que expresan co…"
"25 Poemas para No Iniciados","Ernesto OYONARTE","2020","Ficción","Este libro de poesía, sólo recoge veinticinco poemas escritos en momentos muy especiales. No me considero un poeta. Más bien, un trovador que entiende la poesía, como una forma hermosa de resumir sen…"
"Zarpazos de Poesía","Patfei Patfei","2021","Ficción","Zarpazos de poesía es una cotinuación de la frescura poetica del anterior libro Poesía de la Vida. Un libro mucho mas maduro y reflexivo que el anterior escrito en singular pero que engloba miles de…"
"Señales de Humo","Mayra Barbara Ramos Regueira","2025","Poetry","Colección variada de 152 poesías organizadas cronológicamente a lo largo de las diferentes etapas de la vida de la autora en los años 90 en Cuba. Muestra los paulatinos cambios en su manera de apreci…"
"Tierra de Nadie","Rolando Costa Picazo","2019","Ficción","""Tierra de nadie"" es un libro acerca de una de las guerras más terribles del siglo XX, en la que más de setenta y cinco millones de hombres fueron movilizados y más de la mitad resultaron muertos o d…"
"Fuego y Camino","Bernal Arias Ramírez","2019","Ficción","Obra de Bernal Arias Ramírez, publicada en 2019."
"Enero y nómada","José Luis Rico","2020","Ficción","Enero y nómada es una crónica emocional, lírica, épica también, de treinta y tres años (1980-2013) viviendo fuerte; unas veces deprisa y otras con la calma y la categoría que el tiempo concede a sere…"
"Mal que bien","Enrique García-Máiquez López","2019","Poetry","Tras nueve años sin editar poesía, Mal que bien constituye ese esperado retorno de un poeta en el que la versatilidad métrica y la frescura de los versos se combinan con el humor, la inesperada hondu…"
"Poemas","Félix Lope de Vega y Carpio","2024","Literary Collections","Félix Lope de Vega, una figura prominente del Siglo de Oro español, se distingue por una poesía que irradia ardor y vitalidad, elementos que resplandecen en su soneto Boscán, tarde llegamos. Este poe…"
"Antología inédita de poesía cubana del centenario","Abdeslam Azougarh","2018","Ficción","Obra de Abdeslam Azougarh, publicada en 2018."
"Relatos de Terror en Español","Blake Aguilar","2021","Religion","¿Buscas relatos verídicos que te quitaran el sueño? ¿Te gustaría descubrir los casos más impactantes de encuentros con seres del más allá? Entonces sigue leyendo.. “Se encuentra frente al gran mister…"
"Robespierre. Virtud y terror","Slavoj Zizek","2011","History","Una de las más poderosas y desconcertantes justificaciones de la violencia política jamás escritas."
"Triangle Of Terror","Don Pendleton","2014","Fiction","STORMING THE GATES A secret intelligence task force has unleashed the rogue fury of black ops at the highest reaches of the U.S. Administration. Shrouded in lies, the group has spun its web and baite…"
"Terror and Violence","Andrew Strathern","2006","Political Science","Publisher Description"
"Striking Terror","George Freedman","2004","Fiction","""Harry and Naomi have discovered a terrorist plot to use a World War II-vintage 1st to stage a biological attack on a Southern city. Harry's navy 1st buddies, a colorful group of characters, join Har…"
"Human Rights, Crimes Against Humanity and State Terror","M. Abdullah Zakir","2003","Crimes against humanity","Obra de M. Abdullah Zakir, publicada en 2003."
"The Tales of Terror","Christabel Forsyth Fiske","1900","English fiction","Obra de Christabel Forsyth Fiske, publicada en 1900."
"The Coming Terror and Other Essays and Letters","Robert Williams Buchanan","1891","Individualism","Obra de Robert Williams Buchanan, publicada en 1891."
"Terror in Guyana","Gar Wilson","1990","Fiction","Terror In Guyana by Gar Wilson released on May 25, 1990 is available now for purchase."
"The Dream Cycle of H. P. Lovecraft: Dreams of Terror and Death","H.P. Lovecraft","1995","Fiction","This volume collects, for the first time, the entire Dream Cycle created by H. P. Lovecraft, the master of twentieth-century horror."
"The Kingdoms of Terror","Joe Dever","1986","Juvenile Fiction","Obra de Joe Dever, publicada en 1986."
"State Terror and Popular Resistance in El Salvador","Michael McClintock","1985","History","Obra de Michael McClintock, publicada en 1985."
"The White Terror and the Political Reaction After Waterloo","Daniel Philip Resnick","1966","France","Obra de Daniel Philip Resnick, publicada en 1966."
"Martel Papers; Or, Life Scenes in the Reign of Terror","Washington Frothingham","1867","France","Obra de Washington Frothingham, publicada en 1867."
"The Reign of Terror. A Letter to the Right Hon. W. E. Gladstone, Etc","Geoffery CRAYON (Junr. pseud.)","1873","Ficción","Obra de Geoffery CRAYON (Junr. pseud.), publicada en 1873."
"The Zoology of the Voyage of H. M. S. Erebus & Terror, Under the Command of Captain Sir James Clark Ross During the Years 1839 to 1843","John Richardson","1874","Ficción","Obra de John Richardson, publicada en 1874."
"The Video Movie Guide 2001","Mick Martin","2000","Performing Arts","Presents brief reviews of more than nineteen thousand films and other videos that are available at rental stores and through mail order, arranged alphabetically by title; also includes actor and dire…"
"The Life and Times of Noah London","John Dewey Holmes","2008","Ficción","Obra de John Dewey Holmes, publicada en 2008."
"Noche sobre América","Luis Pérez Ochando","2017","Performing Arts","¿De qué tienes miedo? Del dolor, de la muerte, de la pérdida... La mayoría de nuestros terrores son innatos, espontáneos, pero también pueden ser aprendidos, sociales, colectivos. Hemos aprendido a t…"
"Compte Rendu Des Débats","Council of Europe. Consultative Assembly","1973","Ficción","Obra de Council of Europe. Consultative Assembly, publicada en 1973."
"A History of Soviet Russia: The interregnum, 1923-1924","Edward Hallett Carr","1951","Communism","Obra de Edward Hallett Carr, publicada en 1951."
"Parliamentary Debates","Western Australia. Parliament","1914","Western Australia","Obra de Western Australia. Parliament, publicada en 1914."
"PAT 3.3 User's Guide","Heather Fawcett","1989","Database searching","Obra de Heather Fawcett, publicada en 1989."
"Chapters XI-XII","Emanuel Swedenborg","1915","Athanasianism","Obra de Emanuel Swedenborg, publicada en 1915."
"The Soviet Union: 1917-1940","Edward Acton","2005","History","Combining narrative commentary with over 270 contemporary documents, this title provides an entree to debate over humanity's most momentous and tragic experiment. It is suitable for students at all l…"
"Class-book in Oratory","Allen Ayrault Griffith","1886","Elocution","Obra de Allen Ayrault Griffith, publicada en 1886."
"Modern France","Arthur Augustus Tilley","1922","History","Obra de Arthur Augustus Tilley, publicada en 1922."
"Scarred Minds","Daya Somasundaram","1998","Ethnic groups","After Providing A Brief Account Of The Background To The Civil Strife In Sri Lanka, This Book Presents A Theoretical And Clinical Study Of The Psychological Causes And Effects Of Continous Violence A…"
"Translations and Tomfooleries","Bernard Shaw","1926","English drama","Obra de Bernard Shaw, publicada en 1926."
"A Commentary on the Holy Scriptures: Ezekiel","Johann Peter Lange","1876","Bible","Obra de Johann Peter Lange, publicada en 1876."
"Making Oslo Work","Max Singer","1997","Arab-Israeli conflict","Obra de Max Singer, publicada en 1997."
"Violence: A Philosophical Anthology","Vittorio Bufacchi","2009","History","The first anthology of philosophical essays on the nature and justifiability of violence, taken from the last 100 years and exploring a range of philosophical issues pertaining to violence."
"When States Kill","Cecilia Menjívar","2005","History","Since the early twentieth century, technological transfers from the United States to Latin American countries have involved technologies of violence for social control. As the chapters in this book i…"
"Chambers Dictionary of World History","Bruce Lenman","2005","History","Revised and updated to reflect recent world events, Chambers Dictionary of World History features more than 7,500 entries in a straightforward A-to-Z format. This impressive reference covers the key…"
"A Concordance to Shakespeare's Poems","Mrs. Horace Howard Furness","1875","English poetry","Obra de Mrs. Horace Howard Furness, publicada en 1875."
"The Writings of Mark Twain: A Connecticut yankee in King Arthur's court","Mark Twain","1917","Ficción","Obra de Mark Twain, publicada en 1917."
"The Russian Syndrome","Hélène Carrère d'Encausse","1992","History","Today, as we confront the social and political upheaval that has led to the disintegration of the Soviet Union, a deeper understanding of Russia's turbulent past is more essential than ever. In this…"
"The War of the Rebellion","United States. War Department","1886","Confederate States of America","Official records produced by the armies of the United States and the Confederacy, and the executive branches of their respective governments, concerning the military operations of the Civil War, and…"
"The Rise of Melodrama and the Schematization of Women in England, 1760-1840","Andrew David Mendelson","1977","English drama","Obra de Andrew David Mendelson, publicada en 1977."
"The History of Nations","Henry Cabot Lodge","1906","World history","Obra de Henry Cabot Lodge, publicada en 1906."
"Jean-François Lyotard","Derek Robbins","2004","Postmodernism","Obra de Derek Robbins, publicada en 2004."
"Lays and Lyrics of England and Verses Various","M. C. Tyndall","1898","Great Britain","Obra de M. C. Tyndall, publicada en 1898."
"Hurricane","Nahum Sabsay","1931","Soviet Union","Obra de Nahum Sabsay, publicada en 1931."
"The Attitude of the American Leftist Leaders Toward the Russian Revolution (1917-1923) ...","Paul Herbert Anderson","1942","Socialism","Obra de Paul Herbert Anderson, publicada en 1942."
"Voyages of Discovery in the Arctic and Antarctic Seas","Robert M'Cormick","1884","Antarctic regions","Obra de Robert M'Cormick, publicada en 1884."
"The Complete Works of Count Tolstoy: My confession. Critique of dogmatic theology","graf Leo Tolstoy","1904","Ficción","Obra de graf Leo Tolstoy, publicada en 1904."
"A Practical Treatise on the Diseases of Children","John Forsyth Meigs","1883","Children","Obra de John Forsyth Meigs, publicada en 1883."
"International Politics in a Revolutionary Age","Władysław Wszebór Kulski","1968","Diplomacy","Obra de Władysław Wszebór Kulski, publicada en 1968."
"Robespierre, a Study","Hilaire Belloc","1901","Ficción","Obra de Hilaire Belloc, publicada en 1901."
"The Complete Works of Count Tolstoy ...","graf Leo Tolstoy","1904","Ficción","Obra de graf Leo Tolstoy, publicada en 1904."
"Revista del Colegio Interamericano de Defensa","Colegio Interamericano de Defensa","1978","America","Obra de Colegio Interamericano de Defensa, publicada en 1978."
"Works","Thomas Carlyle","1885","Ficción","Obra de Thomas Carlyle, publicada en 1885."
"Consolidated Laws of the Colony of British Honduras","British Honduras","1887","Law","Obra de British Honduras, publicada en 1887."
"New Websterian 1912 Dictionary","Noah Webster","1912","English language","Obra de Noah Webster, publicada en 1912."
"Parliamentary Debates (Hansard).","Great Britain. Parliament. House of Commons","1962","Great Britain","Contains the 4th session of the 28th Parliament through the session of the Parliament."
"A New English Dictionary on Historical Principles","Sir James Augustus Henry Murray","1919","English language","Obra de Sir James Augustus Henry Murray, publicada en 1919."
"Film, Television, and Stage Music on Phonograph Records","Steve Harris","1988","Music","The most comprehensive (through August '86), accurate, and thoroughly researched reference ever published on film, television, and stage music from U.S. and British productions. There are three categ…"
"Annual Report of the State Board of Health of Massachusetts","Massachusetts. State Board of Health","1875","Public health","Obra de Massachusetts. State Board of Health, publicada en 1875."
"The Sovietization of the Baltic States, 1940-1956","Olaf Mertelsmann","2003","Baltic States","Obra de Olaf Mertelsmann, publicada en 2003."
"Novo Diccionario Da Lingua Portugueza E Ingleza","Henriette Michaelis","1920","English language","Obra de Henriette Michaelis, publicada en 1920."
"The Variorum Teacher's Edition of the Holy Bible","William Sanday","1886","Ficción","Obra de William Sanday, publicada en 1886."
"Walker and Webster combined in a dictionary of the English language","John Longmiur","1873","Ficción","Obra de John Longmiur, publicada en 1873."
"History of the English People","John Richard Green","1882","Great Britain","Obra de John Richard Green, publicada en 1882."
"(vol. I-II) Revolutionary and subversive movements abroad and at home","New York (State). Legislature. Joint Legislative Committee to Investigate Seditious Activities","1920","Americanisms","Obra de New York (State). Legislature. Joint Legislative Committee to Investigate Seditious Activities, publicada en 1920."
"A History of English Literature","Emile Legouis","1927","English literature","Obra de Emile Legouis, publicada en 1927."
"Aristotle on the Art of Poetry","Aristotle","1909","Aesthetics","Obra de Aristotle, publicada en 1909."
"The Strand Magazine","Sir George Newnes","1898","Ficción","Obra de Sir George Newnes, publicada en 1898."
"Being the reports of the journeys + the scientific work undertaken by Dr. E.A. Wilson and the surveying members of the Expedition","Robert Falcon Scott","1914","Antarctica","Obra de Robert Falcon Scott, publicada en 1914."
"The Outline of History","Herbert George Wells","1920","World history","Obra de Herbert George Wells, publicada en 1920."
